Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Chiragh links,Chrome 71.0.3578.98,,2019-01-01 18:09:52,2019-01-01 18:22:26,12m - 33.617s,FAILED
,,,,,,
Test Cases/register/read more,Chrome 71.0.3578.98,,2019-01-01 18:09:53,2019-01-01 18:10:21,28.294s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:09:53,2019-01-01 18:09:57,4.166s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:09:57,2019-01-01 18:10:12,14.946s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:10:12,2019-01-01 18:10:14,1.266s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:10:14,2019-01-01 18:10:17,3.056s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/div_Login                    o""))",Chrome 71.0.3578.98,,2019-01-01 18:10:17,2019-01-01 18:10:17,0.210s,PASSED
"click(findTestObject(""sign in/Page_Chiragh/a_Register""))",Chrome 71.0.3578.98,,2019-01-01 18:10:17,2019-01-01 18:10:17,0.125s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:10:17,2019-01-01 18:10:20,3.005s,PASSED
"click(findTestObject(""Object Repository/read more/Page_Chiragh/a_(Read More)""))",Chrome 71.0.3578.98,,2019-01-01 18:10:20,2019-01-01 18:10:20,0.219s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/read more/Page_Chiragh/div_Terms  Conditions""), 5)",Chrome 71.0.3578.98,,2019-01-01 18:10:20,2019-01-01 18:10:20,0.071s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:10:20,2019-01-01 18:10:21,0.831s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:10:21,2019-01-01 18:10:21,0.091s,PASSED
,,,,,,
Test Cases/signin/Forgot Password,Chrome 71.0.3578.98,,2019-01-01 18:10:21,2019-01-01 18:10:47,26.083s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:10:22,2019-01-01 18:10:24,2.310s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:10:24,2019-01-01 18:10:39,14.691s,PASSED
