Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
link,Chrome 71.0.3578.98,,2018-12-31 13:11:59,2018-12-31 13:19:53,7m - 54.154s,FAILED
,,,,,,
Test Cases/home page/login,Chrome 71.0.3578.98,,2018-12-31 13:12:00,2018-12-31 13:12:19,19.554s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:12:00,2018-12-31 13:12:04,3.937s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/auth/login"")",Chrome 71.0.3578.98,,2018-12-31 13:12:04,2018-12-31 13:12:18,14.594s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userName (1)""), ""newuser01"")",Chrome 71.0.3578.98,,2018-12-31 13:12:18,2018-12-31 13:12:19,0.326s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userPassword (1)""), ""1234567890"")",Chrome 71.0.3578.98,,2018-12-31 13:12:19,2018-12-31 13:12:19,0.218s,PASSED
"click(findTestObject(""Object Repository/Page_Chiragh/button_Sign In""))",Chrome 71.0.3578.98,,2018-12-31 13:12:19,2018-12-31 13:12:19,0.192s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:12:19,2018-12-31 13:12:19,0.041s,PASSED
,,,,,,
Test Cases/home page/Contact Us,Chrome 71.0.3578.98,,2018-12-31 13:12:19,2018-12-31 13:12:44,24.769s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:12:20,2018-12-31 13:12:23,3.129s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:12:23,2018-12-31 13:12:36,12.802s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:12:36,2018-12-31 13:12:37,1.143s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:12:37,2018-12-31 13:12:40,3.043s,PASSED
"click(findTestObject(""Object Repository/Contact Us/Page_Chiragh/a_CONTACT US""))",Chrome 71.0.3578.98,,2018-12-31 13:12:40,2018-12-31 13:12:40,0.169s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:12:40,2018-12-31 13:12:43,3.006s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Contact Us/Page_Chiragh/div_Headquarter""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:12:43,2018-12-31 13:12:43,0.175s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:12:43,2018-12-31 13:12:44,0.801s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:12:44,2018-12-31 13:12:44,0.018s,PASSED
,,,,,,
